ACT_ID	CIDX	AIDX	RIDX	TYPE	RELATION	VALUE	UPPER_VALUE	UNITS	TEXT_VALUE	ACTIVITY_COMMENT	CRIDX
ACT_INH_0154	DOM_SIM_154	1_LEY	LEY_VERO	inhibition	=	0.48		%			LEY_VERO
ACT_INH_0155	DOM_SIM_155	1_LEY	LEY_VERO	inhibition	=	-0.05		%			LEY_VERO
ACT_INH_0156	DOM_SIM_156	1_LEY	LEY_VERO	inhibition	=	0.04		%			LEY_VERO
ACT_INH_0157	DOM_SIM_157	1_LEY	LEY_VERO	inhibition	=	0.04		%			LEY_VERO
ACT_INH_0158	DOM_SIM_158	1_LEY	LEY_VERO	inhibition	=	-0.29		%			LEY_VERO
ACT_INH_0159	DOM_SIM_159	1_LEY	LEY_VERO	inhibition	=	-0.06		%			LEY_VERO
ACT_INH_0160	DOM_SIM_160	1_LEY	LEY_VERO	inhibition	=	-0.05		%			LEY_VERO
ACT_INH_0161	DOM_SIM_161	1_LEY	LEY_VERO	inhibition	=	0		%			LEY_VERO
ACT_INH_0162	DOM_SIM_162	1_LEY	LEY_VERO	inhibition	=	-0.12		%			LEY_VERO
ACT_INH_0163	DOM_SIM_163	1_LEY	LEY_VERO	inhibition	=	1.42		%			LEY_VERO
ACT_INH_0164	DOM_SIM_164	1_LEY	LEY_VERO	inhibition	=	0.17		%			LEY_VERO
ACT_INH_0165	DOM_SIM_165	1_LEY	LEY_VERO	inhibition	=	0		%			LEY_VERO
ACT_INH_0166	DOM_SIM_166	1_LEY	LEY_VERO	inhibition	=	0.14		%			LEY_VERO
ACT_INH_0167	DOM_SIM_167	1_LEY	LEY_VERO	inhibition	=	-0.02		%			LEY_VERO
ACT_INH_0168	DOM_SIM_168	1_LEY	LEY_VERO	inhibition	=	0.44		%			LEY_VERO
ACT_INH_0169	DOM_SIM_169	1_LEY	LEY_VERO	inhibition	=	-0.1		%			LEY_VERO
ACT_INH_0170	DOM_SIM_170	1_LEY	LEY_VERO	inhibition	=	0.48		%			LEY_VERO
ACT_INH_0171	DOM_SIM_171	1_LEY	LEY_VERO	inhibition	=	-0.11		%			LEY_VERO
ACT_INH_0172	DOM_SIM_172	1_LEY	LEY_VERO	inhibition	=	-0.09		%			LEY_VERO
ACT_INH_0173	DOM_SIM_173	1_LEY	LEY_VERO	inhibition	=	-0.02		%			LEY_VERO
ACT_INH_0174	DOM_SIM_174	1_LEY	LEY_VERO	inhibition	=	-0.04		%			LEY_VERO
ACT_INH_0175	DOM_SIM_175	1_LEY	LEY_VERO	inhibition	=	0.21		%			LEY_VERO
ACT_INH_0176	DOM_SIM_176	1_LEY	LEY_VERO	inhibition	=	0.03		%			LEY_VERO
