COMPOUND_ID	ASSAY_ID	STATUS	VALUE	UNIT	SUPPLIER
DNDI1335915	1000461	= 	.017	uM	EPICHEM
DNDI1335915	1003108	= 	55.93	uM	EPICHEM
DNDI1335916	1002457	> 	1	uM	EPICHEM
DNDI1335916	1000461	> 	1	uM	EPICHEM
DNDI1335916	1003108	= 	18.66	uM	EPICHEM
DNDI1336026	1002457	= 	.14	uM	EPICHEM
DNDI1336026	1003108	= 	56.51	uM	EPICHEM
DNDI1336026	1000461	= 	.042	uM	EPICHEM
DNDI1336027	1002457	= 	.045	uM	EPICHEM
DNDI1336027	1000461	= 	.017	uM	EPICHEM
DNDI1336027	1003108	> 	100	uM	EPICHEM
DNDI1336028	1002457	> 	1	uM	EPICHEM
DNDI1336028	1000461	> 	1	uM	EPICHEM
DNDI1336028	1003108	= 	57.88	uM	EPICHEM
DNDI1336029	1002457	> 	1	uM	EPICHEM
DNDI1336029	1000461	= 	.64	uM	EPICHEM
DNDI1336029	1003108	= 	56.22	uM	EPICHEM
DNDI1336030	1003108	> 	100	uM	EPICHEM
DNDI1336030	1000461	= 	.055	uM	EPICHEM
DNDI1336030	1002457	= 	.18	uM	EPICHEM
DNDI1336031	1003108	> 	100	uM	EPICHEM
DNDI1336031	1002457	= 	.1	uM	EPICHEM
DNDI1336031	1000461	= 	.03	uM	EPICHEM
DNDI1336031	1003108	> 	100	uM	EPICHEM
DNDI1336031	1002457	= 	.32	uM	EPICHEM
DNDI1336031	1000461	= 	.078	uM	EPICHEM
DNDI1336032	1002457	= 	.14	uM	EPICHEM
DNDI1336032	1000461	= 	.033	uM	EPICHEM
DNDI1336032	1003108	> 	100	uM	EPICHEM
DNDI1336033	1002457	= 	.007	uM	EPICHEM
DNDI1336033	1000461	= 	.002	uM	EPICHEM
DNDI1336033	1003108	= 	56.3	uM	EPICHEM
DNDI1336034	1000461	= 	.12	uM	EPICHEM
DNDI1336034	1002457	= 	.39	uM	EPICHEM
DNDI1336034	1003108	> 	100	uM	EPICHEM
DNDI1336035	1002457	> 	10	uM	EPICHEM
DNDI1336035	1000461	> 	10	uM	EPICHEM
DNDI1336035	1003108	= 	91.38	uM	EPICHEM
DNDI1336037	1002457	= 	.003	uM	EPICHEM
DNDI1336037	1003108	= 	56.02	uM	EPICHEM
