COMPOUND_ID	ASSAY_ID	STATUS	VALUE	UNIT	SUPPLIER
DNDI1112872	1005759	>	10	ug/ml	SCYNEXIS
DNDI1112872	1000986	=	2.44	ug/ml	SCYNEXIS
DNDI1112873	1005759	>	10	ug/ml	SCYNEXIS
DNDI1112873	1000986	=	2.2	ug/ml	SCYNEXIS
DNDI1112875	1000249	=	3.3	none	SCYNEXIS
DNDI1112875	1005759	=	7.78	ug/ml	SCYNEXIS
DNDI1112875	1004748	>	200	uM	SCYNEXIS
DNDI1112875	1000986	=	.43	ug/ml	SCYNEXIS
DNDI1112876	1000249	=	3.3	none	SCYNEXIS
DNDI1112876	1005759	=	9.29	ug/ml	SCYNEXIS
DNDI1112876	1004748	>	200	uM	SCYNEXIS
DNDI1112876	1000986	=	.55	ug/ml	SCYNEXIS
DNDI1112878	1005759	>	10	ug/ml	SCYNEXIS
DNDI1112878	1000986	>	5	ug/ml	SCYNEXIS
DNDI1112890	1005759	>	10	ug/ml	SCYNEXIS
DNDI1112890	1000986	>	5	ug/ml	SCYNEXIS
DNDI1115610	1005759	>	10	ug/ml	SCYNEXIS
DNDI1115610	1000986	=	1.49	ug/ml	SCYNEXIS
DNDI1115611	1005759	>	10	ug/ml	SCYNEXIS
DNDI1115611	1000986	=	1.54	ug/ml	SCYNEXIS
DNDI1115630	1005759	>	10	ug/ml	SCYNEXIS
DNDI1115630	1000986	=	1.41	ug/ml	SCYNEXIS
DNDI1115633	1005759	>	10	ug/ml	SCYNEXIS
DNDI1115633	1000986	=	2.16	ug/ml	SCYNEXIS
DNDI1115634	1005759	=	8.59	ug/ml	SCYNEXIS
DNDI1115634	1000986	=	2.71	ug/ml	SCYNEXIS
DNDI1115635	1005759	=	10	ug/ml	SCYNEXIS
DNDI1115635	1000986	=	3.61	ug/ml	SCYNEXIS
DNDI1145110	1000986	>	5	ug/ml	SCYNEXIS
DNDI1145110	1005759	>	10	ug/ml	SCYNEXIS
DNDI1147581	1005759	>	10	ug/ml	SCYNEXIS
DNDI1147581	1000986	>	5	ug/ml	SCYNEXIS
DNDI1210254	1000986	>	5	ug/ml	SCYNEXIS
DNDI1210254	1005759	>	10	ug/ml	SCYNEXIS
DNDI1210361	1000986	=	.535	ug/ml	SCYNEXIS
DNDI1210361	1005759	=	1.57	ug/ml	SCYNEXIS
DNDI1227037	1004748	=	25	uM	SCYNEXIS
DNDI1227037	1000249	=	4.84	none	SCYNEXIS
DNDI1227037	1000986	=	2.46	ug/ml	SCYNEXIS
DNDI1227037	1005759	=	3.05	ug/ml	SCYNEXIS
DNDI1340257	1000986	>	5	ug/ml	SCYNEXIS
DNDI1340257	1005759	=	10	ug/ml	SCYNEXIS
DNDI1340258	1005759	>	10	ug/ml	SCYNEXIS
DNDI1340258	1000986	>	5	ug/ml	SCYNEXIS
DNDI1340260	1000986	>	5	ug/ml	SCYNEXIS
DNDI1340260	1005759	>	10	ug/ml	SCYNEXIS
DNDI1342978	1000986	=	.554	ug/ml	SCYNEXIS
DNDI1342978	1005759	=	.76	ug/ml	SCYNEXIS
DNDI1343002	1006730	>	350	min	SCYNEXIS
DNDI1343002	1004748	=	25	uM	SCYNEXIS
DNDI1343002	1000249	=	5.2	none	SCYNEXIS
DNDI1343002	1007185	=	70	%	SCYNEXIS
DNDI1343002	1007184	=	59.3	nm/s	SCYNEXIS
